,Overall,BKF-BL,BKF-PBL,BKF-NGW,BKF-SHW,BKF-OFFST
2012,63586630.19086121,5475939.346696669,529715.9613969827,574752.1494291612,9198981.23741776,3282.814089387196
2013,64994339.27556688,5633412.41386937,529715.9613969827,574752.1494291612,9393248.715767557,3282.814089387196
2014,76973206.53514472,5660606.603701057,583168.8694112137,690889.8881332092,9393248.715767557,3282.814089387196
2015,94578768.35885486,6139822.618574464,1019825.4704331452,2100450.4973482853,9393248.715767557,11881.408724636454
2016,113806608.57146896,7382605.07034257,2322894.5869745268,2455740.9676196626,9407410.996298488,12105.551864608808
2017,170539140.69760436,7390652.670935261,2744694.267216813,2905124.036745037,9407410.996298488,12326.440481616739
2018,191408638.77441427,7409398.910691983,3190685.5091148685,3203295.5724186855,9407410.996298488,12326.440481616739
2019,276571807.3478686,7411761.5114835035,4328167.835396253,4110861.839224348,9407410.996298488,12326.440481616739
2020,297066784.34732026,7411761.5114835035,4729424.7785105435,4171521.750305091,9407410.996298488,17507.438042544018
2021,302504948.91989326,7411761.5114835035,4750939.839649472,4280110.885505754,9409115.318400448,17507.438042544018
